evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.9508414249002358,1,,153,100
1,6,39,839,0.9192968596817673,1,,151,100
2,11,71,871,0.9203002426797827,1,,152,100
3,17,99,899,0.9674259145289615,1,,152,100
4,22,148,948,0.9888801683119013,1,,155,100
5,27,172,972,0.8915613599288807,1,,155,100
6,34,233,1033,0.9914537247123281,1,,156,100
7,39,262,1062,0.982961909868468,1,,147,100
8,44,307,1107,0.9851153950162665,1,,139,100
9,49,335,1135,0.9638044871615877,1,,132,100
10,55,365,1165,0.8847734629232064,1,,126,100
11,61,397,1197,0.9931032941320503,1,,119,100
12,66,435,1235,0.9665879627210124,1,,111,100
13,71,466,1266,0.9481256668995643,1,,106,100
14,77,507,1307,0.8032641851325238,1,,100,100
