evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.9762243600134102,1,,150,100
1,7,44,844,0.9682343650236,1,,152,100
2,12,81,881,0.9893331279768351,1,,151,100
3,25,175,975,0.266827000633207,1,,153,100
4,32,226,1026,0.4527804002668837,1,,156,100
5,39,268,1068,0.002947048375886078,1,,156,100
6,48,336,1136,0.012320509639962125,1,,157,100
7,53,376,1176,0.019587168265979123,1,,162,100
8,58,408,1208,0.0024074728427308885,1,,164,100
9,65,469,1269,0.941160337947532,1,,165,100
10,70,507,1307,0.9229147761612652,1,,165,100
11,83,590,1390,0.814804819105476,1,,167,100
12,89,620,1420,0.20996309232479904,1,,167,100
13,95,670,1470,0.0016842298444209678,1,,163,100
14,100,711,1511,0.0010309131215050537,1,,156,100
15,105,739,1539,0.018428910102283813,1,,151,100
16,111,782,1582,0.017014573788825895,1,,142,100
17,118,832,1632,0.07139857863365211,1,,132,100
18,126,878,1678,0.9354275931009364,1,,121,100
19,132,923,1723,0.801572591303401,1,,116,100
20,137,953,1753,0.8414280205777878,1,,106,100
